"GeoName","Year","Real GDP (millions of chained 2017 dollars) 1/","Chain-type quantity indexes for real GDP","Current-dollar GDP (millions of current dollars)","Compensation (millions of dollars)","Gross operating surplus (millions of dollars)","Taxes on production and imports (TOPI) less subsides (millions of dollars)","Taxes on production and imports (TOPI) (millions of dollars)","Subsidies (millions of dollars)"
"Plains","2014",1202106.7,96.11,1159084.1,607418.8,484226.4,67439,75443.3,-8004.3
"Plains","2015",1227189.3,98.116,1196563.7,632405.3,495785.1,68373.3,77038.5,-8665.2
"Plains","2016",1237736.4,98.959,1217270.1,644161.5,501662.6,71445.9,80305.6,-8859.6
"Plains","2017",1250759.3,100,1250759.3,668566.9,507599.2,74593.2,83030.9,-8437.6
"Plains","2018",1274025.8,101.86,1301100,697650.7,526410.9,77038.3,86747.5,-9709.2
"Plains","2019",1288475.9,103.015,1340848,722267.2,542715.5,75865.3,89099.7,-13234.3
"Plains","2020",1262663.1,100.952,1336823.2,729814,577311.4,29697.8,89388.9,-59691.1
"Plains","2021",1330505.9,106.376,1476248.6,773966.3,651007.4,51274.9,98621.7,-47346.8
"Plains","2022",1354128.6,108.265,1620951.9,825995.4,705338.8,89617.7,104885.8,-15268.1
"Plains","2023",1388150.7,110.985,1726903.2,869401.1,761083.3,96418.8,108672,-12253.2
"Plains","1997",820782,65.623,562637.8,314426.9,212874.7,35336.3,39339.5,-4003.2
"Plains","1998",847987.9,67.798,589812.1,337614.8,216738.8,35458.5,41375.2,-5916.7
"Plains","1999",872881.4,69.788,616360,357758.7,225168.4,33432.9,42493.3,-9060.4
"Southeast","2000",3072356.4,72.976,2184421.8,1237317.4,792597.7,154506.7,162530.2,-8023.5
"Southeast","2001",3118856.9,74.081,2276728.1,1288764.2,831299.8,156664,166732.4,-10068.4
"Southeast","2002",3195086.7,75.891,2373091.6,1325388.7,881093.9,166609,174819.7,-8210.7
"Southeast","2003",3312051.6,78.669,2506652.9,1385315.4,944344.3,176993.3,186761.7,-9768.5
"Southeast","2004",3473548.7,82.505,2698495.6,1473946,1030117.9,194431.7,202869.3,-8437.6
"Southeast","2005",3634909.9,86.338,2913203.6,1564822.9,1139234,209146.7,221726.7,-12580
"Southeast","2006",3726096.7,88.504,3083770.8,1654547.9,1203950.2,225272.6,235788.2,-10515.6
"Southeast","2007",3752274.3,89.126,3188454.1,1734200.2,1229244.3,225009.7,241982,-16972.3
"Southeast","2008",3738925.1,88.809,3234078.1,1765676.3,1240770.9,227631,240386.4,-12755.4
"Southeast","2009",3611267.9,85.777,3176181.8,1709934.4,1241434.3,224813.2,237211.7,-12398.5
"Southeast","2010",3695420.2,87.775,3278580.2,1740804.9,1307081.9,230693.4,241742.9,-11049.5
"Southeast","2011",3716013.1,88.264,3357321.5,1788819.3,1334553.9,233948.3,245767.1,-11818.8
"Southeast","2012",3762626.3,89.372,3470051.2,1856836.1,1372415.8,240799.3,251945.6,-11146.2
"Southeast","2013",3828029.9,90.925,3587499.1,1907342.5,1431569.1,248587.5,259489.8,-10902.3
"Southeast","2014",3902765.3,92.7,3726579.8,1989978.9,1479622.5,256978.4,267372.3,-10393.8
"Southeast","2015",4011954.3,95.294,3901056.5,2086786.6,1552464.3,261805.6,271524.9,-9719.3
"Southeast","2016",4102066.9,97.434,4037867.5,2153733.3,1611177.8,272956.5,283883.3,-10926.8
"Southeast","2017",4210089.2,100,4210089.2,2248032.5,1676904,285152.7,296045.8,-10893.1
"Southeast","2018",4315633.4,102.507,4411751.3,2358073.8,1750995.4,302682.1,313454.9,-10772.8
"Southeast","2019",4423102.6,105.06,4611953.7,2464201.9,1832513.9,315238,328341.7,-13103.7
"Southeast","2020",4345697.4,103.221,4609791.5,2507363.9,1933264.8,169162.8,329275.5,-160112.7
"Southeast","2021",4641104.5,110.238,5132905.4,2736466.6,2165121.7,231317.1,376925,-145607.9
"Southeast","2022",4802786.2,114.078,5685333.1,2971976.6,2327938.3,385418.3,407973.4,-22555.2
"Southeast","2023",4952758.9,117.64,6122626.7,3168442.8,2555846.3,398337.6,416584.7,-18247.1
"Southeast","1997",2734719.5,64.956,1830328.7,1011639.5,685757.5,132931.6,138162.3,-5230.7
"Southeast","1998",2866446.2,68.085,1950036.3,1088127.8,721798.8,140109.7,146081.7,-5972
"Southeast","1999",3001079.3,71.283,2079803.6,1156598.6,775588.3,147616.8,155046.7,-7430
"Southwest","2000",1404915.7,61.453,1054545,575934.5,399788.3,78822.1,82811.3,-3989.2
"Southwest","2001",1446381.5,63.267,1106271.4,603053.4,423060.5,80157.5,85210.6,-5053.1
"Southwest","2002",1480277.7,64.75,1134836.9,610570.6,438336.4,85929.9,89680.2,-3750.3
"Southwest","2003",1510596.5,66.076,1204221.7,629930.5,484889,89402.3,94203,-4800.8
"Southwest","2004",1592175.9,69.644,1313307.9,665969.8,551403.7,95934.4,99851.7,-3917.3
"Southwest","2005",1648724.3,72.118,1431836,713388.3,615723.3,102724.5,108139.9,-5415.4
"Southwest","2006",1754561.8,76.747,1570658.2,778994.9,679112.3,112551,117195.3,-4644.3
"Southwest","2007",1832803.4,80.169,1687400.5,833664.3,730529,123207.2,127651.4,-4444.2
"Southwest","2008",1833232.9,80.188,1760096.5,867834.1,767213.4,125049,129424,-4375
"Southwest","2009",1808209.6,79.094,1654004,842810.9,691711.1,119482,124886.3,-5404.3
"Southwest","2010",1851648.8,80.994,1746317.9,863861.4,759226.1,123230.3,128033.8,-4803.5
"Southwest","2011",1912613.8,83.661,1867732.3,908007.3,830070.9,129654,135093.4,-5439.4
"Southwest","2012",1996352,87.323,1965333.5,962894.9,863963.4,138475.2,143756.1,-5280.9
"Southwest","2013",2075730.9,90.795,2078339.4,1002108.7,932818.4,143412.2,149160.3,-5748.1
"Southwest","2014",2140042.2,93.609,2168451.1,1062015,953253.9,153182.1,159584.3,-6402.1
"Southwest","2015",2229860.4,97.537,2163072.2,1107323.6,896577.7,159171,164599.1,-5428.1
"Southwest","2016",2235958.6,97.804,2169483.3,1124934.8,883341.7,161206.9,166690.8,-5483.8
"Southwest","2017",2286160.7,100,2286160.7,1176839.1,937362.3,171959.4,177209.3,-5249.9
"Southwest","2018",2385042.1,104.325,2464730,1248206.7,1026898.6,189624.7,195112.7,-5488.1
"Southwest","2019",2466718.9,107.898,2550062.7,1316198.5,1036164.1,197700.1,204554.6,-6854.6
"Southwest","2020",2428217.3,106.214,2484273,1329554.6,1049826.7,104891.7,201712.4,-96820.7
"Southwest","2021",2569596,112.398,2856515.9,1435591.9,1271825.9,149098.1,224927.1,-75829
"Southwest","2022",2660434.4,116.371,3295092.2,1566731.1,1485104.5,243256.6,255866,-12609.4
"Southwest","2023",2838599.1,124.164,3498332.5,1680519.4,1572039.5,245773.6,255979.1,-10205.5
"Southwest","1997",1217038.5,53.235,875223.8,453553.7,355969.6,65700.5,68283.3,-2582.8
"Southwest","1998",1296677.8,56.719,924988,497002.6,359821.4,68163.9,71337.9,-3174
"Southwest","1999",1356476.3,59.334,977377,528270.2,375905.2,73201.6,77560.4,-4358.8
"Rocky Mountain","2000",447007.7,65.61,326792.7,184510.4,122521.9,19760.5,21473.9,-1713.4
"Rocky Mountain","2001",453118.5,66.507,338172.1,192124.5,125940.8,20106.8,22060.8,-1953.9
"Rocky Mountain","2002",459318.5,67.417,347931.5,194069.2,132378.5,21483.8,22951.8,-1468
"Rocky Mountain","2003",467703.7,68.648,362401.1,199505.7,140754.1,22141.3,23964.5,-1823.2
"Rocky Mountain","2004",484373.5,71.094,386799.8,211209.5,151111.3,24479,26048.4,-1569.4
"Rocky Mountain","2005",511144.3,75.024,423474.8,225239.7,172108.8,26126.2,28259.4,-2133.1
"Rocky Mountain","2006",533204.6,78.262,456520,243779.6,184426.6,28313.8,30013.5,-1699.7
"Rocky Mountain","2007",555985.3,81.605,490493.5,260509.5,199915.7,30068.3,31682.4,-1614.1
"Rocky Mountain","2008",563305.6,82.68,510481.5,269202.7,210957.1,30321.7,32090.2,-1768.5
"Rocky Mountain","2009",549726.5,80.687,490321.9,260621.3,200486.5,29214.1,31168,-1953.9
"Rocky Mountain","2010",557538.3,81.833,506802.1,264164.3,210918.3,31719.5,33678.9,-1959.4
"Rocky Mountain","2011",567498,83.295,528877.4,274183.5,221087.6,33606.3,35704.2,-2097.9
"Rocky Mountain","2012",574357.6,84.302,542933.4,287892,221704.8,33336.6,35354,-2017.4
"Rocky Mountain","2013",594720.7,87.291,571271.9,300391.3,236414.1,34466.4,36605.5,-2139.1
"Rocky Mountain","2014",617617.8,90.651,602131,317894.1,248422.8,35814.1,37991.7,-2177.6
"Rocky Mountain","2015",641499.1,94.157,621890,333866.8,251439.1,36584.1,38521.8,-1937.7
"Rocky Mountain","2016",655672.6,96.237,641047,345278.3,257311.8,38456.9,40638.2,-2181.2
"Rocky Mountain","2017",681310.1,100,681310.1,366160.1,273910.2,41239.8,43661.3,-2421.4
"Rocky Mountain","2018",712372.1,104.559,730567.7,390060.6,296479.8,44027.3,46593.2,-2565.8
"Rocky Mountain","2019",746428.8,109.558,776330.2,414361.4,315061.5,46907.3,49468.5,-2561.2
"Rocky Mountain","2020",743870.7,109.182,780157.5,429849.7,331357.8,18950.1,49888.1,-30938.1
"Rocky Mountain","2021",796343.1,116.884,880955.5,470387.9,377501.5,33066.1,56189.3,-23123.2
"Rocky Mountain","2022",822215.2,120.681,986528.2,511465.5,418011.1,57051.6,62448.4,-5396.8
"Rocky Mountain","2023",856063.1,125.65,1057159,545289.5,452099.2,59770.3,64052.6,-4282.3
"Rocky Mountain","1997",368387,54.07,258110.6,142026.2,99955.2,16129.1,17272.9,-1143.7
"Rocky Mountain","1998",394624.2,57.921,278324.1,154467.9,106386.5,17469.7,18876.1,-1406.4
"Rocky Mountain","1999",418719.2,61.458,299198.9,166770.2,114099.7,18329,20023,-1694
"Far West","2000",2469130.3,65.021,1854647.3,1050080.4,688718.9,115848,122039.5,-6191.5
"Far West","2001",2463451,64.871,1880381,1075820.5,693209.1,111351.5,125925.2,-14573.7
"Far West","2002",2514956.9,66.228,1945882.8,1088260.3,731942.3,125680.2,132971.2,-7291
"Far West","2003",2609835.8,68.726,2052021.8,1134220.6,788703.4,129097.8,136937.4,-7839.6
"Far West","2004",2705895,71.256,2181148.4,1209045.5,830905.1,141197.9,149022.4,-7824.6
"Far West","2005",2835774.9,74.676,2350653.6,1276238.6,923277.5,151137.5,160155,-9017.5
"Far West","2006",2947201.5,77.61,2512545.3,1354782.7,992023.1,165739.5,174196.3,-8456.8
"Far West","2007",3026963.1,79.711,2647216.6,1428276.4,1043873.7,175066.5,183188.2,-8121.7
"Far West","2008",3056662.3,80.493,2714188.1,1451384.7,1074395.1,188408.3,196624.9,-8216.7
"Far West","2009",2948080.1,77.633,2626186.8,1384697,1066558.7,174931.1,184836.3,-9905.3
"Far West","2010",3010545.7,79.278,2710840.2,1409927,1118541.9,182371.4,191967.8,-9596.4
"Far West","2011",3066026,80.739,2815614.7,1472376.2,1148971,194267.5,204238.9,-9971.4
"Far West","2012",3148430.2,82.909,2941292.9,1547385.1,1199328.3,194579.5,204021,-9441.4
"Far West","2013",3249257.6,85.564,3084924.5,1610166,1267225.2,207533.3,217000.1,-9466.8
"Far West","2014",3360531.4,88.495,3240456.4,1702511.7,1320563.2,217381.5,226904.1,-9522.6
"Far West","2015",3516768.4,92.609,3434110.9,1816248.6,1389691.4,228170.9,237608.2,-9437.2
"Far West","2016",3629300.3,95.572,3576784.8,1900909.1,1442582.5,233293.1,243504.7,-10211.5
"Far West","2017",3797440.5,100,3797440.5,2013796.5,1539392.9,244251.1,254538.5,-10287.4
"Far West","2018",3956948,104.2,4026579,2131811.4,1627745.7,267021.8,277719.2,-10697.4
"Far West","2019",4115306.5,108.371,4258455.7,2248738.7,1712778.3,296938.7,308189.6,-11250.9
"Far West","2020",4055843.5,106.805,4260931.2,2311581.5,1761171.8,188178,298295,-110117
"Far West","2021",4352483,114.616,4741363.3,2548106.4,1966658.1,226598.7,336594.8,-109996.2
"Far West","2022",4411936.1,116.182,5098918.7,2676315.2,2076383.6,346219.9,371497.3,-25277.4
"Far West","2023",4525827.9,119.181,5421427.9,2813430.1,2250957.3,357040.6,376892.8,-19852.2
"Far West","1997",2043143.4,53.803,1487052.1,800966.7,588463.8,97621.5,104040.3,-6418.7
"Far West","1998",2168490.8,57.104,1585134.4,870618.3,612387.4,102128.7,107868.3,-5739.6
"Far West","1999",2319359.7,61.077,1712681.7,944512.9,660563.2,107605.6,113931.1,-6325.4
