"State","Year","From State government1","Taxes","Property","Sales and gross receipts","General sales","Selective sales","Motor fuel","Alcoholic beverage","Tobacco products","Public utilities","Other selective sales","Individual income","Corporate income","Motor vehicle license","Other taxes","Charges and miscellaneous general revenue","Current charges","Education","School lunch sales (gross)","Hospitals","Highways","Air transportation (airports)","Parking facilities","Sea and inland port facilities","Natural resources","Parks and recreation","Housing and community development","Sewerage","Solid waste management","Other charges","Capital outlay","Higher education","Elementary & secondary","Other education","Libraries","Public welfare","Cash assistance payments","Vendor payments","Other public welfare","Health","Veterans' services","Police protection","Debt outstanding","Employment security administration"
"Alabama","2016","0","10355317","362515","5214390","2648616","2565774","579588","217790","178547","687928","901921","3624542","473736","219393","460741","5967657","4824631","2566190","0","2015474","778","56","0","119690","6073","1489","32275","0","6351","76255","1849423","4881370","0","1020054","4365","8360484","1369836","6329445","661203","421490","5922","165168","8656730","94880"
"Alaska","2016","0","896921","111736","260846","0","260846","48773","42430","67918","4027","97698","0","67457","38000","418882","3733285","700785","204998","0","7110","71856","143796","0","0","43033","3757","10707","0","0","215528","1505040","1075371","461130","82965","4825","2230739","121747","1774673","334319","167316","0","117117","5953933","37939"
"Arizona","2016","0","14962172","943008","8964846","6945654","2019192","898234","72281","317331","22337","709009","3968884","570548","228970","285916","5251717","2879769","2461104","0","5729","12736","950","0","0","33516","46621","5275","0","3176","310662","1596549","4692972","27","734755","2582","12822459","314795","9876305","2631359","577941","14501","220801","14400191","2"
"Arkansas","2016","0","9430833","1097908","4590072","3314363","1275709","479879","55164","230527","0","510139","2781458","450159","163023","348213","3415383","2434054","910768","0","1195560","7401","24","0","0","22260","35531","446","0","67","261997","1049509","2711408","0","559159","2796","6898386","8837","6313961","575588","247650","1852","107858","6929147","89321"
"California","2016","0","155191714","2513157","51602180","39189007","12413173","5000539","368699","840034","714623","5489278","80753345","9902185","3996089","6424758","36529850","27787623","10645880","0","9495805","38409","0","10000","0","1108279","109138","1152","0","0","6378960","10333559","28559363","1","6225220","23242","95056513","0","90978393","4078120","1874170","8318","1918745","151824176","310551"
"Colorado","2016","0","12887859","0","4989402","2840173","2149229","667037","43407","201187","0","1237598","6485602","626109","504010","282736","5689447","3852208","2817998","0","784915","72951","0","0","0","30036","3302","472","0","3400","139134","1906771","5792036","0","928971","4718","7761236","41831","7005044","714361","361069","4130","181864","16766069","57653"
"Connecticut","2016","0","15659420","0","6518905","3752793","2766112","467749","56345","350723","298858","1592437","7557153","765492","224287","593583","3894834","2246669","1352470","0","411266","6342","20076","6936","423","29690","18484","14131","0","83336","303515","2416645","3367320","0","835562","10755","3738172","189056","2515281","1033835","803499","30905","251565","36751661","23386"
"Delaware","2016","0","3522301","0","539193","0","539193","125453","20274","111762","55394","226310","1112368","318152","54287","1498301","2290751","1063660","651195","0","5430","195321","0","0","38418","1489","12733","9430","0","69257","80387","571968","1262793","0","465932","7842","2415562","42014","1992880","380668","442703","0","139208","5045161","17066"
"District of Columbia","2016","113574","7418773","2418896","1783982","1343192","440790","25332","6468","30451","186498","192041","1907862","556468","36751","714814","1709937","799060","41564","807","146786","4742","0","43471","0","0","30633","27237","299665","4688","200274","2778170","158943","2606829","0","75218","3785463","152274","2913937","719252","455573","0","593345","14520507","41235"
"Florida","2016","0","38507524","0","31296426","22418257","8878169","2611492","396418","1223029","2408133","2239097","0","2272230","1552251","3386617","16960306","8345048","2775911","0","866802","1816556","0","0","0","110123","56535","276","0","24","2718821","6967691","7837214","0","3339532","9820","25353445","213026","23345767","1794652","3716953","10769","586992","33468245","304175"
"Georgia","2016","0","21455889","961881","8409384","5480196","2929188","1655028","190536","219870","0","863754","10439534","981002","366897","297191","6052147","3609376","2517449","0","240893","39739","0","0","346263","53506","127586","2845","0","0","281095","3136001","5721378","0","2087852","0","11611854","107014","10393181","1111659","1225670","8444","352890","13128771","37921"
"Hawaii","2016","0","6919035","0","4315902","3206154","1109748","92591","50590","124890","152760","688917","2116130","108169","186742","192092","3065567","1799125","450294","24472","650377","0","384560","2611","119359","19572","11308","20592","0","0","140452","961950","1110236","2122302","157569","34794","2744360","3129","2265853","475378","510793","0","37632","9216583","6460"
"Idaho","2016","0","4209366","0","2120946","1559332","561614","337335","9235","50574","1876","162594","1521238","188996","177260","200926","1383080","868039","438548","0","5188","7553","0","0","0","65487","9537","24431","0","0","317295","480159","972707","0","202633","4436","2411826","61628","2048892","301306","151096","0","60685","3563111","9146"
"Illinois","2016","0","37118719","60814","18524265","11344480","7179785","1354039","287865","844928","1585911","3107042","12642673","2742812","1695934","1452221","9823429","5221882","3117753","0","774015","1231151","0","0","0","21382","4781","35801","0","0","36999","5641458","6494638","0","1574727","4624","20629715","156269","17868887","2604559","1020119","9524","364813","65791900","50947"
"Indiana","2016","0","17658175","10699","10688193","7306331","3381862","845384","48310","443210","214976","1829982","5218166","1034367","294209","412541","5626855","3524333","3407976","0","121","1070","0","0","13246","48765","32248","4405","0","0","16502","2222404","6434544","0","1088244","8087","12709733","308480","11299928","1101325","540455","6503","216715","22649100","96028"
"Iowa","2016","0","9565099","1410","4597957","3162854","1435103","689693","22423","227901","35236","459850","3553325","376865","610762","424780","6792971","3497480","1475626","0","1791168","0","1687","0","0","105712","4813","13220","0","4143","101111","1947431","2966766","0","503230","3707","6051589","227828","5340611","483150","105215","1461","97447","5956424","50979"
"Kansas","2016","0","8058949","663841","4324953","3240354","1084599","450633","133709","146552","406","353299","2231902","391877","219463","226913","4808925","3543369","1146198","0","1972263","115460","0","0","0","34544","723","5393","0","0","268788","1395235","2655304","0","283080","4313","3969949","56350","3382687","530912","138484","11071","98016","7781738","32329"
"Kentucky","2016","0","11778866","577544","5603120","3462704","2140416","750034","139248","245581","64681","940872","4282080","606840","207617","501665","4842215","3685154","1569659","0","1710882","55280","440","0","0","56187","64205","16796","0","1058","210647","2432896","4375744","686278","1048924","8236","11165168","180983","10096967","887218","364472","59639","223529","14453423","133876"
"Louisiana","2016","0","9307865","62273","5351241","3186614","2164627","622234","63356","121200","8618","1349219","2866456","171579","133362","722954","4352149","1955831","1542101","0","56650","36602","201","0","84227","12801","86786","3426","0","0","133037","2445462","3524192","6136","852739","4515","8890121","34612","8187252","668257","441176","6046","221060","17903229","126003"
"Maine","2016","0","4130242","35425","2077913","1359190","718723","245053","18741","141464","21674","291791","1551637","137492","108845","218930","1280615","823674","323972","0","27203","139511","152","0","0","19220","1435","9372","0","0","302809","430947","813161","22497","179854","4390","3129402","48436","2320849","760117","209353","243","85106","4845408","55880"
"Maryland","2016","0","20894199","748389","8939430","4504242","4435188","1017769","31627","395266","137537","2852989","8517529","1129008","492753","1067090","6672840","3735588","2093214","0","140185","704889","222504","0","56967","17391","38403","11531","145361","136","305007","3160292","4986806","19","848530","20183","12034222","1370586","9657344","1006292","1221144","2977","526404","27871287","53791"
"Massachusetts","2016","0","27310432","5818","8711293","6089860","2621433","766553","83395","640839","0","1130646","14430331","2333892","464428","1364670","10820824","5607312","2671090","4110","91","974092","703536","0","98878","22491","67806","7621","453071","0","608636","5078591","5156761","248210","1285709","16409","21763699","490317","19852624","1420758","1304132","83230","840114","77692592","216627"
"Michigan","2016","0","27594781","2060543","13331382","9263616","4067766","1017267","156499","946468","29026","1918506","9202587","1052320","1060521","887428","12901235","8688398","4876283","0","3588145","34386","6545","0","0","42885","4804","6880","0","0","128470","2287317","9922156","0","1326044","9647","15735978","264527","13122119","2349332","1471531","0","458132","33744508","176033"
"Minnesota","2016","0","25189128","849824","10120647","5583910","4536737","901156","88352","650042","54","2897133","10732570","1515697","741938","1228452","4729680","2753712","1960528","0","153062","14448","477","0","0","67784","37829","16607","243035","0","259942","2461311","5082362","0","933547","459","13743665","413110","12396354","934201","417317","13351","318595","16332086","47134"
"Mississippi","2016","0","7660391","26725","4777794","3297760","1480034","443578","42352","145931","1602","846571","1800053","463111","158029","434679","3063777","2244638","999180","0","1088401","9553","0","0","18099","11869","375","3674","0","0","113487","1113096","2449914","0","520168","3953","6153325","50660","5740478","362187","271171","3670","134756","7283371","112778"
"Alabama","2017","0","10417084","395930","5247294","2654883","2592411","588992","217790","188783","688756","908090","3624543","520113","219393","409811","6421599","5075432","2663762","0","2104278","1748","47","0","125872","6002","4496","44096","0","6730","118401","1900874","5111951","0","1049813","5055","6958296","113624","6186888","657784","473711","6108","173711","8793477","94177"
"Alaska","2017","0","1208929","120805","263120","0","263120","45944","40097","67555","4370","105154","0","87775","42400","694829","3868742","748504","202289","0","6511","63068","175864","0","0","25635","3150","11155","0","0","260832","1175827","828294","479783","85033","4794","2566994","121863","2103003","342128","166990","0","116524","5921713","22119"
"Arizona","2017","0","15299010","993615","9214293","7237044","1977249","856495","74126","310706","22325","713597","4131621","368136","215991","375354","5112393","3097017","2645395","0","156","15272","921","0","0","44936","36714","9164","0","3535","340924","1622865","4845788","67","2300970","3938","14287614","259560","11219178","2808876","541749","10843","251431","14291349","113428"
"Arkansas","2017","0","9516281","1137886","4701868","3384394","1317474","487517","55831","228540","0","545586","2767767","396989","158446","353325","3854639","2732387","1212818","0","1198463","7696","22","0","0","22742","28342","185","0","66","262053","1363745","2634939","0","542352","2643","7415911","6772","6865610","543529","200675","1951","105772","6968972","87782"
"California","2017","0","159051926","2681872","51360200","38717703","12642497","4842749","370714","852894","728045","5848095","84196751","10112520","4261054","6439529","37768314","27908421","10953929","0","11248310","31838","0","12063","0","1504510","114727","1152","0","0","4041892","8752336","29562451","0","6382566","23667","93597994","0","89025935","4572059","1945074","18608","1857930","147103818","309629"
"Colorado","2017","0","13345839","0","5277083","2978382","2298701","653790","44866","199989","0","1400056","6791929","528543","536975","211309","6047251","4179519","3010172","0","880123","61294","0","0","0","31538","18567","73","0","5901","171851","1876763","6177964","0","1008181","5836","7618103","17099","6867476","733528","401636","2613","231147","16987436","59950"
"Connecticut","2017","0","16686545","0","6991466","4236619","2754847","484479","63155","381778","283433","1542002","7959492","897247","235105","603235","3927763","2251706","1364929","0","428905","9356","24116","7300","503","31188","18082","10328","0","63426","293573","2188165","3399896","0","723330","10705","3718127","179701","2546770","991656","923623","28383","222643","38756156","21090"
"Delaware","2017","0","3589030","0","556490","0","556490","129487","20577","112349","53798","240279","1180975","246175","57982","1547408","2203926","1074949","663198","0","6342","201550","0","0","37303","1468","16874","5459","0","69257","73498","851415","1488617","0","479362","8519","2518155","36790","2125389","355976","474100","0","146756","5053856","17165"
"District of Columbia","2017","223197","7666286","2540862","1865334","1418935","446399","26098","6641","29530","187667","196463","1958277","554245","38935","708633","1647523","883643","42678","926","136617","407","0","50804","0","0","33020","60624","366485","4872","188136","4290121","124602","2782231","0","93064","3763527","862994","2048546","851987","659432","0","639302","14901142","46679"
"Florida","2017","0","41333978","0","34089929","25346166","8743763","2727802","323393","1197666","1972968","2521934","0","2383783","1374140","3486126","16940828","8447015","2863098","0","976641","1921831","0","0","0","113773","59080","278","0","27","2512287","7669976","7874697","0","3426900","9668","26989511","200015","24950036","1839460","4073244","10357","606373","28809784","314357"
"Georgia","2017","0","22592761","989218","8809190","5729916","3079274","1741092","193438","220774","0","923970","10977693","971898","364255","480507","6317800","3760276","2588322","0","245496","47176","0","0","372983","59215","151238","4017","0","0","291829","3311812","6013401","0","2181117","13696","12039286","112744","10827745","1098797","1289526","8603","416467","13050409","35082"
"Hawaii","2017","0","7029026","0","4365856","3239225","1126631","87026","51167","124160","122159","742119","2095601","184840","187986","194743","3702480","1896868","442576","23671","685952","0","430141","2510","136317","22819","11938","22226","0","0","142389","921436","1206613","2068682","134239","36628","2984377","3797","2531912","448668","571337","7","44862","9656278","6310"
"Idaho","2017","0","4500758","0","2231756","1650498","581258","353548","9468","50883","2152","165207","1660248","216641","187156","204957","1396909","866572","438027","0","5076","7250","0","0","0","68739","9928","29565","0","0","307987","457939","987449","0","229405","4871","2484794","59186","2110218","315390","183989","0","66328","3363457","10987"
"Illinois","2017","0","37978923","63283","18629894","11363366","7266528","1348414","294304","781528","1527274","3315008","13256769","2877499","1728151","1423327","10423228","5342564","3128830","0","814692","1305754","0","0","0","15592","5147","41183","0","0","31366","5523597","6463315","0","1928956","3625","22017772","124205","19196825","2696742","1193243","10045","409127","61821319","50778"
"Indiana","2017","0","18170514","12251","11013349","7556326","3457023","854529","49403","434331","193613","1925147","5435292","1025498","284202","399922","5864026","3559867","3429438","0","38","1536","0","0","13246","49132","33714","5077","0","0","27686","2236645","6427255","0","1173420","8389","13922934","365474","12446073","1111387","670881","9023","223462","20785326","83162"
"Iowa","2017","0","9755430","1840","4613085","3205997","1407088","674603","22535","220938","31386","457626","3655462","432020","637933","415090","5251976","3626915","1538747","0","1848347","3398","1564","0","0","102632","5343","14367","0","4487","108030","1918622","2781339","0","517244","3392","5569164","235407","4862085","471672","132904","1936","95515","6149694","52854"
"Kansas","2017","0","8174015","683827","4301759","3209506","1092253","458008","137801","138698","378","357368","2327652","386966","224198","249613","5115398","3891835","1211968","0","2241556","119466","0","0","0","38046","1245","5630","0","0","273924","1563050","2743017","0","302542","3419","4299634","57837","3651317","590480","364278","11877","107868","7538475","32561"
"Kentucky","2017","0","11907759","709772","5649708","3490639","2159069","701440","146227","243096","58298","1010008","4394185","458650","208389","487055","4991312","3833778","1642874","0","1850939","60749","425","0","0","57282","65923","17531","0","941","137114","2104935","4479553","696245","1060469","7205","11314136","174499","10343869","795768","400010","50374","175080","13554882","115836"
"Louisiana","2017","0","10861190","70366","6770967","4215378","2555589","634883","77107","174001","9110","1660488","2949939","291321","83002","695595","4035688","2271800","1631720","0","59479","16648","206","0","89121","12344","103135","2208","0","0","356939","2091465","3478033","0","794368","4758","11226836","31700","10445245","749891","500963","6581","238728","18032742","127964"
"Maine","2017","0","4232556","38643","2165142","1441867","723275","252870","19266","144243","21944","284952","1534866","175239","109723","208943","1326449","859687","338951","0","27274","145140","249","0","0","19783","1466","9429","0","0","317395","400261","782344","18932","205848","4215","3149818","45604","2361674","742540","236035","258","90368","4750384","67336"
"Maryland","2017","0","21599795","777064","9242760","4609538","4633222","1078313","32151","386965","138251","2997542","9066709","1001934","501360","1009968","6578611","3870224","2187894","0","122733","752449","232361","0","50634","20702","38100","12864","170631","203","281653","3369126","4891106","9","833354","20125","13042965","1268025","10766705","1008235","1293094","2323","546535","28027363","51021"
"Massachusetts","2017","0","27509262","6598","8809249","6240822","2568427","769442","85397","619437","0","1094151","14724277","2196474","438855","1333809","10854147","5806724","2718391","5374","2496","1013705","762042","0","111759","28753","71239","8588","467980","0","621771","4872570","5505794","248525","1380124","16474","22230645","539172","20215638","1475835","1541018","5931","505958","78245507","197482"
"Michigan","2017","0","29205910","2124075","14314143","9986926","4327217","1118262","159378","1038594","35261","1975722","9404825","1195399","1236380","931088","13919689","9506090","5080012","0","4204148","29104","676","0","0","47895","6360","8143","0","0","129752","2529535","10257050","0","1441277","10186","15739922","247634","13129755","2362533","1646301","0","473644","30567333","176102"
"Minnesota","2017","0","25594522","854945","10607635","5888795","4718840","912644","88222","681018","54","3036902","10956205","1227028","790116","1158593","4854463","2832820","1983887","0","193930","22425","593","0","0","40877","41866","15564","254223","0","279455","2022308","5693338","0","1019520","0","13428470","375393","11979910","1073167","506790","14575","357023","16361948","45446"
"Mississippi","2017","0","7724629","27099","4950204","3483438","1466766","445361","41818","144792","1578","833217","1798856","407913","158099","382458","3043335","2247364","1017540","0","1076319","5340","0","0","24029","17328","423","3758","0","0","102627","1077774","2265138","0","611259","4191","6322184","58463","5940590","323131","337997","22287","135917","7470178","36864"
"Missouri","2017","0","12493358","31643","5403936","3604570","1799366","720849","37863","100391","0","940263","6149468","307443","288210","312658","5737205","3129333","1955052","0","958384","5149","0","0","0","11210","3793","19345","0","1","176399","1303102","3283864","0","915038","7587","9224207","83705","8730316","410186","2009096","878","246996","18419751","39752"
"Montana","2017","0","2729685","277615","620235","0","620235","231065","35558","83608","43468","226536","1180344","124821","156956","369714","892609","534907","440494","0","1991","491","292","0","0","51872","1704","1541","0","0","36522","425854","916569","0","105882","5895","2169871","0","2053926","115945","287344","2400","55206","2795614","46554"
"Nebraska","2017","0","5103105","123","2407514","1835037","572477","354234","30911","56954","44297","86081","2228486","264440","110538","92004","1834497","996741","795299","0","33538","1249","309","0","0","33205","8467","2175","0","188","122311","817036","1951157","0","252479","3347","2745847","0","1991703","754144","290216","1189","82537","2014735","41894"
"Nevada","2017","0","8624618","300490","6923284","4756243","2167041","326425","45011","195371","24676","1575558","0","0","213455","1187389","1410093","830756","538923","0","375","3420","0","0","0","7305","7627","9459","0","0","263647","932260","1498413","16038","546372","9796","3541548","45321","3164795","331432","298814","114","91208","3248814","61682"
"New Hampshire","2017","0","2592039","405186","959384","0","959384","152086","12678","203102","53427","538091","65467","573653","102438","485911","1742707","944541","617890","0","6799","151178","249","0","0","4500","22876","17016","2140","0","121893","493802","940165","0","248046","2142","2170974","48116","1848193","274665","127107","1097","70914","7739447","24439"
"New Jersey","2017","0","33100504","4761","14163269","9591881","4571388","532878","137757","697577","984612","2218564","13958119","2109930","667056","2197369","13121894","7132583","2871260","5173","1044406","1784869","13765","0","35496","3488","46433","59097","6166","2284","1265319","4502222","6159498","2696487","4111699","4299","17380498","331036","15505250","1544212","1712103","13905","585222","65874095","193051"
"New Mexico","2017","0","5329658","81694","3057267","2258767","798500","242627","7376","77887","30633","439977","1043515","89708","196303","861171","3827023","1743187","596958","0","1005086","12341","0","0","0","14442","1399","3356","0","1005","108600","732217","2385998","0","423447","0","5923297","57253","5357721","508323","434551","4191","125181","7057656","10539"
"New York","2017","0","79678037","0","25362583","14132141","11230442","1647240","257690","1265699","811992","7247821","44631769","4026353","1403555","4253777","21991961","10356802","3104880","0","4911695","847261","59325","0","10925","78125","339075","12229","0","143","993144","10043561","10681536","1656","2079624","4332","58046749","5396","57308004","733349","3427788","6505","865151","145204588","202909"
"North Carolina","2017","0","26868715","0","11698702","7656898","4041804","1922400","394838","292138","259","1432169","12086332","757041","831878","1494762","9474327","6110169","3539499","0","1777813","54777","728","2229","41320","45235","29645","73875","0","342","544706","4212380","8151774","488252","1843443","7156","13328931","20188","12890951","417792","1084796","7046","492104","16310177","114224"
"North Dakota","2017","0","3465326","4401","1349428","872176","477252","189718","8872","28977","46595","203090","319507","60871","119853","1611266","1266351","727874","442826","0","4729","2306","1","0","0","22344","5264","3510","0","0","246894","798926","1045649","0","123838","2308","1451579","67266","1203307","181006","150990","812","45897","2885664","15689"
"Ohio","2017","0","29476074","0","18743014","12512755","6230259","1984392","107060","1109777","1147894","1881136","8377450","8833","840327","1506450","14947634","9414149","5098300","0","3721890","313167","0","0","0","34724","25507","80380","0","0","140181","4454857","9037788","0","1517058","15777","25836997","476440","24540653","819904","1202492","30902","332437","33401352","127959"
"Oklahoma","2017","0","8347989","0","3764852","2465383","1299469","473960","118260","320200","42267","344782","2974890","157936","726335","723976","5287494","2888714","2058770","0","257285","268703","154","0","0","18679","26583","13638","0","1720","243182","2632885","4102288","0","618072","4843","6749569","155010","5640462","954097","914546","15544","176778","8457322","81420"
"Oregon","2017","0","11839680","20065","1523790","0","1523790","529658","18796","247406","11206","716724","8379225","633046","539474","744080","8361234","5711806","1645132","0","2154957","35786","0","0","0","142944","26339","10060","0","89","1696499","1426812","3729062","0","1272892","5484","10262803","269426","6307292","3686085","921940","7979","200061","13814788","56442"
"Pennsylvania","2017","0","38397150","43360","20173496","10509734","9663762","3143576","386816","1401259","1235942","3496169","12063782","2344344","928512","2843656","16245287","11556407","5838448","0","3940099","1157757","58","0","0","43887","66336","62028","47","36","447711","7923987","10200843","0","2396759","14843","29995504","1768528","25514535","2712441","2490062","6075","1092822","49068990","102487"
"Rhode Island","2017","0","3266663","2633","1691782","996390","695392","90990","20873","140074","97711","345744","1238928","129732","26788","176800","1853380","959411","454478","258","7187","43921","65419","0","0","15722","34640","12893","99656","11737","213758","456619","692395","51176","248365","2480","3105972","24028","2813588","268356","233368","0","92833","8915647","38959"
"South Carolina","2017","0","9793497","37518","4637349","3285007","1352342","583476","177317","26383","28278","536888","4142276","340327","229898","406129","6847804","4803255","2393546","0","1476522","84691","451","0","233648","33637","39503","12900","0","0","528357","2331355","4443530","0","1598823","10418","7895182","146731","6994323","754128","1179282","0","180591","15323497","63800"
"South Dakota","2017","0","1828426","0","1517856","1065361","452495","189133","16933","61809","3103","181517","0","30728","82947","196895","911879","355270","307967","0","2283","1973","0","0","0","13613","3311","0","0","0","26123","608426","666030","0","131862","2715","1192808","90759","1013631","88418","86710","1357","47560","3527703","10132"
"Tennessee","2017","0","13893728","0","10010965","7260193","2750772","915858","187125","256762","7398","1383629","249977","1726223","306047","1600516","4228933","2159140","1679786","0","28491","201","0","0","0","20470","41047","3767","0","1431","383947","1576166","3751844","119104","987100","10768","10832393","562409","9332288","937696","1353829","5658","223032","6127422","58354"
"Texas","2017","0","53612926","0","46897352","32490144","14407208","3585179","1228641","1467486","614565","7511337","0","0","2237042","4478532","28289814","15935221","8019646","20","6732093","251672","0","0","0","61933","63174","15871","170","53968","736694","11111717","25633375","87331","2455190","28621","37807499","1717977","32605359","3484163","2935742","276561","1229950","50955563","93000"
"Utah","2017","0","7882783","0","3408030","2390421","1017609","500948","50002","117514","24351","324794","3794676","326592","205060","148425","5548484","4365698","1827264","0","2193185","1761","384","0","0","14033","19159","4643","0","4256","301013","1806129","4572609","0","273157","7031","3750259","592558","2912146","245555","364390","4124","137067","7439399","11632"
"Vermont","2017","0","3157314","1056635","1058569","375870","682699","81020","26028","76686","8589","490376","743630","111186","76905","110389","936163","651422","569082","0","0","408","0","0","0","2017","9683","4769","0","0","65463","337625","892984","0","215309","2882","1824136","23014","1133481","667641","370238","3771","79190","3502960","1905"
"Virginia","2017","0","22202326","31232","6916097","3970133","2945964","997561","224426","171198","118088","1434691","13052887","826961","481146","894003","14332501","10193274","4435056","0","4773721","54537","62","0","478619","9966","30901","28674","0","10","381728","3589960","7977409","0","1141461","17431","10437217","246370","9592264","598583","1125286","25865","407212","27825929","76239"
"Washington","2017","0","23995147","2097507","19173581","14509841","4663740","1812646","354939","430022","504117","1562016","0","0","551517","2172542","8967147","5860047","3053783","0","1869238","391619","0","0","0","130074","2914","110438","0","0","301981","2889635","7464391","0","1383294","8436","12180551","169359","10721946","1289246","2450723","29674","305035","29649920","203045"
"West Virginia","2017","0","5092879","7248","2672887","1334168","1338719","383874","17782","194647","107719","634697","1813866","116305","4329","478244","2665682","1562643","902524","0","63387","105138","947","0","0","16757","21850","8568","12565","1268","429639","906259","1742824","0","520181","13775","4703268","54342","4069099","579827","238891","11742","81031","8568020","18916"
"Wisconsin","2017","0","18138414","132022","7972959","5223935","2749024","1044996","61203","644478","357757","640590","7792543","959699","496295","784896","7843083","4643405","2168775","0","1778776","24425","0","3834","0","56181","42594","16616","66","896","551242","3434144","4819785","0","876147","0","10517946","265367","9515782","736797","366059","22054","44780","23252381","89037"
"Wyoming","2017","0","1649549","274005","762588","588866","173722","114140","1878","22683","3999","31022","0","0","71657","541299","1311244","226910","117864","0","702","5761","601","0","0","15005","491","4115","0","0","82371","475405","621194","0","244519","4686","839055","24","654840","184191","552262","39","38874","769721","39076"
"Alabama","2018","0","11055577","406288","5534807","2786833","2747974","648639","214615","179929","747657","957134","3912800","577516","220483","403683","6971014","5455654","2815428","0","2283008","1568","46","0","134936","7563","41735","49023","0","7056","115291","2307541","5515678","0","1145233","4169","6711293","120774","5901156","689363","466516","6757","171875","9856082","96328"
"Alaska","2018","0","1656352","122341","252970","0","252970","47149","39217","55500","4819","106285","0","196321","36258","1048462","3052994","710091","194743","0","6078","68087","185961","0","0","25747","3377","11305","0","0","214793","1148561","782491","477825","112546","11741","2673911","120962","2140689","412260","218727","0","162050","5889417","53215"
"Arizona","2018","0","16224707","1047254","9705073","7687992","2017081","869183","76378","312808","21805","736907","4545242","373076","230095","323967","5109206","3189814","2722719","0","51","14913","1009","0","0","47164","53010","6312","0","3269","341367","1747185","5156509","94","2458521","4031","15009730","223534","11785353","3000843","562151","8689","255421","9444124","111827"
"Arkansas","2018","0","9819284","1188905","4834983","3498073","1336910","492945","58036","226728","0","559201","2866175","390756","164617","373848","3875499","2805279","1253347","0","1240335","7319","21","0","0","21207","33247","166","0","70","249567","1420873","2840381","0","562798","2689","6805973","6250","6252544","547179","201768","1850","105107","6838147","90015"
"California","2018","0","178437038","2837386","57345108","39682734","17662374","6351756","381670","2428121","688489","7812338","95152230","12488304","4635040","5978970","41540979","30573356","11479646","0","12070453","33236","0","13671","0","1553443","124700","1341","0","0","5296866","9263085","31359382","0","6850601","23425","102893286","0","98123442","4769844","2629272","19058","1840302","149375368","299604"
"Colorado","2018","0","14924842","0","5712243","3211909","2500334","675962","46989","193881","0","1583502","7510366","782679","597097","322457","6838911","4572545","3130224","0","1039450","164758","0","0","0","34961","18668","37","0","4846","179601","1662307","6370467","0","1080930","6370","8953881","16942","8148788","788151","381117","2686","248498","17862537","59478"
"Connecticut","2018","0","18831458","0","7556076","4370749","3185327","487327","63211","376814","261184","1996791","9724449","770941","238351","541641","3902301","2353458","1401274","0","466795","14234","21896","7466","10","32325","24339","18509","0","73889","292721","1841642","3183496","278","653829","10277","3803791","173207","2655472","975112","889127","25598","228186","40298329","20868"
"Delaware","2018","0","4219572","0","585645","0","585645","131864","26556","123026","53228","250971","1652335","254802","58969","1667821","2314250","1122573","715929","0","4976","199934","0","0","39804","1343","17969","6497","1916","67103","67102","773464","1387594","0","493082","8107","2711167","35717","2359603","315847","493097","0","146002","5088780","16540"
"District of Columbia","2018","187874","7970767","2624083","1936523","1493101","443422","26268","6560","27956","179065","203573","2066842","574745","39514","729060","1643222","833598","42066","998","114166","671","0","5187","0","0","31501","56666","400678","6198","176465","3903722","135726","2905935","0","128721","3759609","879178","2021482","858949","739427","0","627829","16157439","44331"
"Florida","2018","0","45961204","0","38456615","29562900","8893715","2799610","293098","1172492","2387900","2240615","0","2426900","1449604","3628085","17523406","8559917","2810659","0","1101267","1969509","0","0","0","85273","54399","288","0","40","2538482","7437916","8316326","0","4059732","11138","27812728","158832","25704376","1949520","4131125","11857","631680","27602050","305179"
"Georgia","2018","0","23428056","927590","9132965","5938448","3194517","1801798","195696","224910","0","972113","11643781","1004298","395140","324282","6442690","3867025","2625088","0","278625","64577","1","0","426382","61043","136002","5050","0","0","270257","3191048","6329100","0","2422765","9008","12579320","110400","11301000","1167920","1148831","11261","421238","13305788","30598"
"Hawaii","2018","0","7714451","0","4732032","3529065","1202967","88377","51383","120386","117641","825180","2430032","146831","191757","213799","3192719","1737965","429212","23409","452557","0","483411","2594","157984","24160","16162","23781","0","0","148104","1358610","1263577","2264187","130450","38121","2906234","3568","2453634","449032","539199","0","44823","9971130","6883"
"Idaho","2018","0","4833041","0","2383727","1790830","592897","362234","9710","51141","2592","167220","1835864","240809","195431","177210","1490069","925758","441697","0","4634","7064","0","0","0","73696","10724","38951","0","0","348992","735937","1113124","0","246030","5077","2703443","61135","2306377","335931","178093","0","66549","3433664","8162"
"Illinois","2018","0","42575392","59589","18699777","11336866","7362911","1367939","296162","764296","1439894","3494620","17282737","3319420","1618750","1595119","10679765","5353519","3028255","0","851338","1400794","0","0","0","14035","4763","30259","0","0","24075","4006008","6659825","0","1853320","3864","22675361","113517","19732926","2828918","1130405","14461","475164","67262460","45692"
"Indiana","2018","0","22056726","12927","12119558","7795091","4324467","1420135","51578","418810","202149","2231795","8474919","698725","321055","429542","6073400","3727570","3591820","0","19","1431","0","0","13046","49911","35148","5334","0","0","30861","2356840","6703872","0","1252865","8509","13933382","325448","12492696","1115238","683891","8230","251703","22008770","79292"
