GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "98000","Far West",8,SAGDP3N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",334794,365477,371630,366062,403114,415797,395161,415423,444091,483742,522486,578755,627673,608443,629009,635561,643105,670996,704280,726468,747229,797893,824571,282791,228174,989267,1078305
 "98000","Far West",8,SAGDP3N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",26725,30372,32309,35210,34911,37704,37681,45844,45049,47699,51977,56641,51517,45907,44458,43973,45456,44088,48151,51261,52002,53841,59456,-194449,-147986,71488,76312
 "98000","Far West",8,SAGDP3N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",125165,135555,142968,154387,198387,205645,220042,240736,220777,242183,274778,333459,319658,318430,338561,326274,634713,628163,615789,326991,338235,357912,422513,-212760,2584,512631,549570
 "98000","Far West",8,SAGDP3N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",3161511,3239187,3280716,3684202,3516131,3853662,3912202,4242665,4668673,4957037,5098627,5633535,6318648,6040290,6430314,6595088,6999055,7058300,7549989,7660368,7957302,8188474,8545909,5286708,6517902,9311803,9496450
 "98000","Far West",8,SAGDP3N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",2043512,2075944,2067183,2387097,2230419,2426453,2457127,2620832,2936089,3135347,3031945,3128864,3466923,3499572,3568715,3649089,3819471,3814840,4192794,4166727,4243147,4392981,4593299,2838690,3453518,4871396,4967606
 "98000","Far West",8,SAGDP3N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",48982,52886,54639,54907,44824,48518,47189,51921,52736,54180,58897,69313,72465,65328,62159,58720,60580,57986,56780,56789,52211,59801,70233,-67957,22745,85901,91180
 "98000","Far West",8,SAGDP3N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",40141,45306,50103,53803,53364,57861,57851,64213,61753,67016,79118,92931,91206,88755,81506,79230,76948,71783,75149,79939,76466,78469,85893,-238363,-191765,107077,113520
 "98000","Far West",8,SAGDP3N,29,"322","    Paper manufacturing ","Thousands of dollars",172799,181285,174134,173735,148992,153573,154288,162735,161799,167353,178310,190944,190326,182779,176587,169204,167017,154876,165139,169903,173564,182194,200562,88351,182833,239532,256439
 "98000","Far West",8,SAGDP3N,30,"323","    Printing and related support activities ","Thousands of dollars",79895,85847,87708,91724,81752,83104,79516,88124,84900,88514,100233,115074,111225,103585,96849,91573,89945,86926,90902,128391,96264,98063,108167,-334904,-202208,125350,131639
 "98000","Far West",8,SAGDP3N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",305549,308554,301771,302902,275971,312917,320134,366347,397821,437135,522810,666724,684999,648691,698911,657163,682981,713306,709750,772301,729344,767177,815862,815985,839157,933348,981986
